numeroclient;referencetitre;montant;objet;dtepcepec;delaimisenligne;finmiseenligne;numerocontrat
046300;202300000500000001;14.48;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
046300;202300000501000001;28.96;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
005165;202300001605000001;153.99;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
055775;202300000317000001;250.00;Concession cimetiere;2023-11-20 00:00:00;60;2024-01-19;00335984
053417;202300000056000001;595.00;LOYER+OM JUILLET 2023 582+ 13 = 595.00;2023-11-20 00:00:00;60;2024-01-19;00326725
053417;202300000057000001;617.00;LOYER + CHARGES JUILLET 2023 585 + 12 + 10 + 10 = 617.00;2023-11-20 00:00:00;60;2024-01-19;00326725
000400;202300000189000001;465.75;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 2;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000191000001;517.50;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 4;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000193000001;538.17;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 7;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000194000001;589.92;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 8;2023-11-20 00:00:00;60;2024-01-19;00308583
005165;202300001606000001;49.41;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
000400;202300000199000001;750.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 135;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000201000001;517.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 14;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000202000001;414.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 15;2023-11-20 00:00:00;60;2024-01-19;00308583
034996;202300000801000001;553.73;Créance de rémunération indument perçue (NBI à compter du 28/04/2022);2023-11-20 00:00:00;60;2024-01-19;00307848
005165;202300001609000001;52.20;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001612000001;29.17;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
